User,Compound,Positive,Negative,Neutal
BBCNews,-0.03991200000000001,0.07705,0.11742000000000002,0.80553
CBS,0.290213,0.14207,0.0147,0.84325
CNN,-0.08388900000000002,0.04403000000000001,0.07114999999999999,0.8848100000000001
FoxNews,0.043080000000000014,0.09353,0.08048999999999999,0.8260000000000001
nytimes,-0.08300300000000002,0.045050000000000014,0.07240999999999999,0.88253
